Name,Gender,House,Season,Total
Ned Stark,Male,Stark,1,3262
Ned Stark,Male,Stark,2,0
Ned Stark,Male,Stark,3,10
Ned Stark,Male,Stark,4,0
Ned Stark,Male,Stark,5,0
Ned Stark,Male,Stark,6,62
Ned Stark,Male,Stark,7,0
Ned Stark,Male,Stark,8,0
Robert Baratheon,Male,Baratheon,1,2396
Robert Baratheon,Male,Baratheon,2,0
Robert Baratheon,Male,Baratheon,3,0
Robert Baratheon,Male,Baratheon,4,0
Robert Baratheon,Male,Baratheon,5,0
Robert Baratheon,Male,Baratheon,6,0
Robert Baratheon,Male,Baratheon,7,0
Robert Baratheon,Male,Baratheon,8,0
Jaime Lannister,Male,Lannister,1,1324
Jaime Lannister,Male,Lannister,2,1179
Jaime Lannister,Male,Lannister,3,2051
Jaime Lannister,Male,Lannister,4,1885
Jaime Lannister,Male,Lannister,5,921
Jaime Lannister,Male,Lannister,6,1731
Jaime Lannister,Male,Lannister,7,1798
Jaime Lannister,Male,Lannister,8,688
Catelyn Stark,Female,Stark,1,1623
Catelyn Stark,Female,Stark,2,1107
Catelyn Stark,Female,Stark,3,731
Catelyn Stark,Female,Stark,4,0
Catelyn Stark,Female,Stark,5,0
Catelyn Stark,Female,Stark,6,0
Catelyn Stark,Female,Stark,7,0
Catelyn Stark,Female,Stark,8,0
Cersei Lannister,Female,Lannister,1,1438
Cersei Lannister,Female,Lannister,2,2684
Cersei Lannister,Female,Lannister,3,1402
Cersei Lannister,Female,Lannister,4,1932
Cersei Lannister,Female,Lannister,5,2628
Cersei Lannister,Female,Lannister,6,1310
Cersei Lannister,Female,Lannister,7,2849
Cersei Lannister,Female,Lannister,8,214
Daenerys Targaryen,Female,Targaryen,1,1275
Daenerys Targaryen,Female,Targaryen,2,1579
Daenerys Targaryen,Female,Targaryen,3,1329
Daenerys Targaryen,Female,Targaryen,4,1510
Daenerys Targaryen,Female,Targaryen,5,1457
Daenerys Targaryen,Female,Targaryen,6,1056
Daenerys Targaryen,Female,Targaryen,7,2260
Daenerys Targaryen,Female,Targaryen,8,1712
Jorah Mormont,Male,Mormont,1,883
Jorah Mormont,Male,Mormont,2,695
Jorah Mormont,Male,Mormont,3,851
Jorah Mormont,Male,Mormont,4,554
Jorah Mormont,Male,Mormont,5,529
Jorah Mormont,Male,Mormont,6,314
Jorah Mormont,Male,Mormont,7,406
Jorah Mormont,Male,Mormont,8,141
Viserys Targaryen,Male,Targaryen,1,1034
Viserys Targaryen,Male,Targaryen,2,0
Viserys Targaryen,Male,Targaryen,3,0
Viserys Targaryen,Male,Targaryen,4,0
Viserys Targaryen,Male,Targaryen,5,0
Viserys Targaryen,Male,Targaryen,6,0
Viserys Targaryen,Male,Targaryen,7,0
Viserys Targaryen,Male,Targaryen,8,0
Jon Snow,Male,Stark,1,1204
Jon Snow,Male,Stark,2,678
Jon Snow,Male,Stark,3,770
Jon Snow,Male,Stark,4,1738
Jon Snow,Male,Stark,5,2128
Jon Snow,Male,Stark,6,1362
Jon Snow,Male,Stark,7,2795
Jon Snow,Male,Stark,8,1498
Sansa Stark,Female,Stark,1,694
Sansa Stark,Female,Stark,2,732
Sansa Stark,Female,Stark,3,982
Sansa Stark,Female,Stark,4,1127
Sansa Stark,Female,Stark,5,743
Sansa Stark,Female,Stark,6,1500
Sansa Stark,Female,Stark,7,1671
Sansa Stark,Female,Stark,8,828
Arya Stark,Female,Stark,1,780
Arya Stark,Female,Stark,2,830
Arya Stark,Female,Stark,3,792
Arya Stark,Female,Stark,4,768
Arya Stark,Female,Stark,5,796
Arya Stark,Female,Stark,6,465
Arya Stark,Female,Stark,7,1187
Arya Stark,Female,Stark,8,542
Robb Stark,Male,Stark,1,871
Robb Stark,Male,Stark,2,1639
Robb Stark,Male,Stark,3,1316
Robb Stark,Male,Stark,4,0
Robb Stark,Male,Stark,5,0
Robb Stark,Male,Stark,6,0
Robb Stark,Male,Stark,7,0
Robb Stark,Male,Stark,8,0
Theon Greyjoy,Male,Greyjoy,1,732
Theon Greyjoy,Male,Greyjoy,2,2546
Theon Greyjoy,Male,Greyjoy,3,563
Theon Greyjoy,Male,Greyjoy,4,307
Theon Greyjoy,Male,Greyjoy,5,317
Theon Greyjoy,Male,Greyjoy,6,522
Theon Greyjoy,Male,Greyjoy,7,255
Theon Greyjoy,Male,Greyjoy,8,79
Bran Stark,Male,Stark,1,537
Bran Stark,Male,Stark,2,527
Bran Stark,Male,Stark,3,815
Bran Stark,Male,Stark,4,195
Bran Stark,Male,Stark,5,0
Bran Stark,Male,Stark,6,330
Bran Stark,Male,Stark,7,441
Bran Stark,Male,Stark,8,342
Joffrey Baratheon,Male,Baratheon,1,895
Joffrey Baratheon,Male,Baratheon,2,1062
Joffrey Baratheon,Male,Baratheon,3,898
Joffrey Baratheon,Male,Baratheon,4,402
Joffrey Baratheon,Male,Baratheon,5,0
Joffrey Baratheon,Male,Baratheon,6,0
Joffrey Baratheon,Male,Baratheon,7,0
Joffrey Baratheon,Male,Baratheon,8,0
Sandor Clegane,Male,Clegane,1,112
Sandor Clegane,Male,Clegane,2,400
Sandor Clegane,Male,Clegane,3,739
Sandor Clegane,Male,Clegane,4,1378
Sandor Clegane,Male,Clegane,5,0
Sandor Clegane,Male,Clegane,6,340
Sandor Clegane,Male,Clegane,7,543
Sandor Clegane,Male,Clegane,8,294
Tyrion Lannister,Male,Lannister,1,3600
Tyrion Lannister,Male,Lannister,2,4634
Tyrion Lannister,Male,Lannister,3,3046
Tyrion Lannister,Male,Lannister,4,3374
Tyrion Lannister,Male,Lannister,5,3254
Tyrion Lannister,Male,Lannister,6,2400
Tyrion Lannister,Male,Lannister,7,2726
Tyrion Lannister,Male,Lannister,8,3119
Petyr Baelish,Male,,1,1731
Petyr Baelish,Male,,2,1266
Petyr Baelish,Male,,3,633
Petyr Baelish,Male,,4,1231
Petyr Baelish,Male,,5,1628
Petyr Baelish,Male,,6,519
Petyr Baelish,Male,,7,724
Petyr Baelish,Male,,8,0
Davos Seaworth,Male,Seaworth,1,0
Davos Seaworth,Male,Seaworth,2,1109
Davos Seaworth,Male,Seaworth,3,1286
Davos Seaworth,Male,Seaworth,4,698
Davos Seaworth,Male,Seaworth,5,776
Davos Seaworth,Male,Seaworth,6,1310
Davos Seaworth,Male,Seaworth,7,935
Davos Seaworth,Male,Seaworth,8,533
Samwell Tarly,Male,Tarly,1,625
Samwell Tarly,Male,Tarly,2,512
Samwell Tarly,Male,Tarly,3,898
Samwell Tarly,Male,Tarly,4,1085
Samwell Tarly,Male,Tarly,5,1288
Samwell Tarly,Male,Tarly,6,575
Samwell Tarly,Male,Tarly,7,800
Samwell Tarly,Male,Tarly,8,686
Stannis Baratheon,Male,Baratheon,1,0
Stannis Baratheon,Male,Baratheon,2,1214
Stannis Baratheon,Male,Baratheon,3,633
Stannis Baratheon,Male,Baratheon,4,345
Stannis Baratheon,Male,Baratheon,5,1515
Stannis Baratheon,Male,Baratheon,6,0
Stannis Baratheon,Male,Baratheon,7,0
Stannis Baratheon,Male,Baratheon,8,0
Melisandre,Female,,1,0
Melisandre,Female,,2,778
Melisandre,Female,,3,962
Melisandre,Female,,4,475
Melisandre,Female,,5,715
Melisandre,Female,,6,429
Melisandre,Female,,7,219
Melisandre,Female,,8,12
Jeor Mormont,Male,Mormont,1,688
Jeor Mormont,Male,Mormont,2,194
Jeor Mormont,Male,Mormont,3,218
Jeor Mormont,Male,Mormont,4,0
Jeor Mormont,Male,Mormont,5,0
Jeor Mormont,Male,Mormont,6,0
Jeor Mormont,Male,Mormont,7,0
Jeor Mormont,Male,Mormont,8,0
Bronn,Male,,1,264
Bronn,Male,,2,744
Bronn,Male,,3,500
Bronn,Male,,4,755
Bronn,Male,,5,978
Bronn,Male,,6,367
Bronn,Male,,7,517
Bronn,Male,,8,521
Varys,Male,,1,1278
Varys,Male,,2,1352
Varys,Male,,3,1232
Varys,Male,,4,464
Varys,Male,,5,740
Varys,Male,,6,820
Varys,Male,,7,710
Varys,Male,,8,579
Shae,Female,,1,236
Shae,Female,,2,603
Shae,Female,,3,486
Shae,Female,,4,503
Shae,Female,,5,0
Shae,Female,,6,0
