Name,Gender,Words
Ned Stark,Male,0
Robert Baratheon,Male,0
Jaime Lannister,Male,1179
Catelyn Stark,Female,1107
Cersei Lannister,Female,2684
Daenerys Targaryen,Female,1579
Jorah Mormont,Male,695
Viserys Targaryen,Male,0
Jon Snow,Male,678
Sansa Stark,Female,732
Arya Stark,Female,830
Robb Stark,Male,1639
Theon Greyjoy,Male,2546
Bran Stark,Male,527
Joffrey Baratheon,Male,1062
Sandor Clegane,Male,400
Tyrion Lannister,Male,4634
Petyr Baelish,Male,1266
Davos Seaworth,Male,1109
Samwell Tarly,Male,512
Stannis Baratheon,Male,1214
Melisandre,Female,778
Jeor Mormont,Male,194
Bronn,Male,744
Varys,Male,1352
Shae,Female,603
Margaery Tyrell,Female,387
Tywin Lannister,Male,1280
Talisa Maegyr,Female,907
Ygritte,Female,942
Gendry,Male,378
Tormund Giantsbane,Male,0
Brienne of Tarth,Female,500
Ramsay Bolton,Male,0
Gilly,Female,63
Daario Naharis,Male,0
Missandei,Female,0
Ellaria Sand,Female,0
Tommen Baratheon,Male,26
Jaqen H'ghar,Male,611
Roose Bolton,Male,293
The High Sparrow,Male,0
Grey Worm,Male,0
Robin Arryn,Male,0
Yohn Royce,Male,0
Anya Waynwood,Female,0
Lysa Arryn,Female,0
Myrcella Baratheon,Female,36
Selyse Florent,Female,0
Shireen Baratheon,Female,0
Renly Baratheon,Male,684
Salladhor Saan,Male,242
Matthos Seaworth,,439
Maester Cressen,Female,147
Walda Bolton,Female,0
Harald Karstark,Male,0
Jon Umber,Male,0
Myranda,Female,0
Locke,Male,0
Walder Frey,Female,0
Lothar Frey,Male,0
Black Walder Rivers,Female,0
Yara Greyjoy,Female,562
Euron Greyjoy,Male,0
Aeron Greyjoy,,0
Balon Greyjoy,Female,476
Dagmer Cleftjaw,Male,156
Black Lorren,Male,129
Gregor Clegane,Female,0
Kevan Lannister,Male,81
Lancel Lannister,Male,418
Polliver,Male,71
Alton Lannister,Male,348
Amory Lorch,Female,106
Lord Leo Lefford,Male,0
Tyene Sand,Female,0
Nymeria Sand,Female,0
Obara Sand,Female,0
Trystane Martell,Male,0
Doran Martell,Male,0
Areo Hotah,Male,0
Oberyn Martell,Female,0
Robett Glover,Male,0
Meera Reed,Female,0
Lyanna Mormont,Female,0
Maester Wolkan,Male,0
Lyanna Stark,Female,0
Rickon Stark,Male,29
Hodor,Male,3
Osha,Female,507
Jojen Reed,Male,0
Rickard Karstark,Male,188
 Maester Luwin,Male,658
Rodrik Cassel,Male,149
Jory Cassel,,0
Septa Mordane,Female,0
Old Nan,Female,0
Jon Umber,Male,0
Barristan Selmy,Female,0
Hizdahr Zo Loraq,Female,0
Mossador,Male,0
Kovarro,Male,65
Doreah,Female,75
Irri,Female,90
Rakharo,,24
Rhaegar Targaryen,Male,0
Edmure Tully,Male,0
Brynden Tully,Male,0
Roslin Frey,Female,0
Olenna Tyrell,Female,0
Mace Tyrell,Female,0
Loras Tyrell,Female,193
Randyll Tarly,Male,0
Melessa Tarly,Female,0
Talla Tarly,Female,0
Dickon Tarly,Male,0
